,Product_ID,Review_ID,Sentence_ID,Sentence,Clean_Sentences,Frequent_Features,Classes,Opinion Words,Effective_Opinions,Infrequent_Features,sentiment_by_adjective_polarity
286,1.0,34.0,287.0,The only free help you get is in renewing your subscription!,onli free help renew subscript,"['subscription', 'help']",1,{'free'},"{'only', 'free'}",[],1
287,1.0,34.0,288.0,The only way my pc internet works is if I open the Firewall Program configuration and manually refresh it.,onli way pc internet work open firewal program configur manual refresh,"['internet program', 'pc internet', 'firewall internet', 'work', 'way', 'program', 'pc', 'internet', 'firewall']",-1,set(),{'only'},[],0
292,1.0,35.0,293.0,"I read how the buyers of this product watched their computers turn into processing sloths, bought a copy and watched my 2.4 Gig XP Pro processor slow down below the level of my 750 Meg 2000Pro laptop!",read buyer product watch comput turn process sloth bought copi watch 2.4 gig xp pro processor slow level meg 2000pro laptop,"['product', 'process', 'laptop', 'computer']",0,"{'pro', 'slow'}",{'2000pro'},"['slow level', 'pro level']",-1
293,1.0,35.0,294.0,At the same time I bought PC-Cillin for the laptop and what a slick product!,time bought pc cillin laptop slick product,"['time', 'product', 'pc', 'laptop']",0,{'slick'},"{'slick', 'same'}",['slick product'],-1
294,1.0,35.0,295.0,"So now, when we type, half the time the XP Pro 2.4 Gig PC lags behind the input, sometime by 10 characters!",type half time xp pro 2.4 gig pc lag input sometim charact,"['time', 'pc']",0,{'half'},set(),['half time'],-1
299,1.0,36.0,300.0,"No more banner ads, pop-ups, and the reliable antivirus.",not_mor banner ad pop reliabl antivirus,['antivirus'],1,{'reliable'},{'reliable'},[],0
300,1.0,36.0,301.0,"I work on word, explorer, netscape, acrobat reader, photoshop at same time (meaning using a lot of memory), but still dont see a problem with computer (getting slow or crashing).",work word explor netscap acrobat reader photoshop time mean use lot memori nt problem comput slow crash,"['work problems', 'problems computer', 'work', 'time', 'problems', 'memory', 'lot', 'computer']",1,{'slow'},{'same'},[],-1
302,1.0,36.0,303.0,This product is way cooler than anything Ive used before (PcCillins and McCafees and Norton Antivirus alone).,product way cooler anyth ve use befor pccillin mccafe norton antivirus alon,"['norton product', 'norton antivirus', 'way', 'product', 'norton', 'antivirus']",1,{'cooler'},set(),[],0
305,1.0,37.0,306.0,All in all it hasn't been a bad product.,not_been bad product,['product'],1,{'bad'},{'bad'},[],-1
306,1.0,37.0,307.0,"However, Symantec has taken a significant turn for the worse with this release.",howev symantec taken signific turn wors releas,['symantec'],-1,"{'significant', 'worse'}",set(),['significant turn'],-1
307,1.0,38.0,308.0,"While it has a rather effective firewall, and comes with Norton Antivirus (which I'm actually rather fond of), the Security Suite has significantly slowed down my system.",effect firewal come norton antivirus m actual fond secur suit signific slow system,"['norton antivirus security', 'security system', 'norton security', 'antivirus security', 'norton antivirus', 'firewall antivirus', 'system', 'security', 'norton', 'firewall', 'antivirus']",0,"{'fond', 'effective'}",set(),"['fond suite', 'effective firewall']",1
313,1.0,39.0,314.0,"I upgraded from NIS 2003, and the change in performance has not been noticeable.",upgrad nis chang perform not_been notic,['nis'],1,{'noticeable'},set(),['noticeable not_been'],0
315,1.0,39.0,316.0,It works better and has more useful features than NIS 2003.,work better use featur nis,"['work', 'nis', 'feature']",1,{'useful'},set(),['useful features'],1
316,1.0,40.0,317.0,I bought this product after reading the Editor's Choice article at PC Magazine and had a great experience with Amazon (as usual).,bought product read editor choic articl pc magazin great experi amazon usual,"['product', 'pc', 'experience', 'amazon']",0,"{'great', 'usual'}",set(),['great experience'],1
318,1.0,40.0,319.0,I was upgrading from a version of Norton Anti-virus that was about a year old in order to get spam and pop-up control.,upgrad version norton anti virus year old order spam pop control,"['versions norton', 'virus', 'versions', 'norton']",0,{'old'},set(),['old order'],1
319,1.0,40.0,320.0,My previous experience with multiple Symantec/Norton products has been good.,previous experi multipl symantec norton product good,"['norton product', 'symantec', 'product', 'norton', 'experience']",0,"{'good', 'previous', 'multiple'}",set(),"['norton products', 'symantec products']",1
320,1.0,40.0,321.0,"The installation, set-up, and operating interfaces are well organized and intuitive and the email spam component works well.",instal set oper interfac organ intuit email spam compon work,"['work', 'installation', 'email', 'components']",1,{'intuitive'},set(),['intuitive component'],0
321,1.0,40.0,322.0,"HOWEVER, I AM VERY DISAPPOINTED WITH THIS PRODUCT AND WITH SYMANTEC.",howev veri disappoint product symantec,"['symantec', 'product']",-1,{'disappointed'},set(),['disappointed symantec'],-1
322,1.0,40.0,323.0,"It feels like I'm back to the days of 56k dial-up internet service, even though I'm running a Dell 2GHz Pentium 4 with 256MB memory and have had excellent broadband service for the past year.",feel like m day 56k dial internet servic m run dell 2ghz pentium mb memori excel broadband servic past year,"['service', 'past', 'memory', 'internet']",-1,{'excellent'},set(),['excellent service'],1
324,1.0,40.0,325.0,There is absolutely nothing useful at the Symantec/Norton site.,absolut noth use symantec norton site,"['symantec', 'site', 'norton']",-1,{'useful'},set(),"['norton site', 'symantec site']",1
325,1.0,40.0,326.0,I am going to uninstall this and stick with my old version until they offer a fix or until I can find a program from another vendor.,uninstal stick old version offer fix find program anoth vendor,"['versions', 'program']",0,"{'uninstall', 'old'}",{'old'},['old offer'],1
327,1.0,40.0,328.0,"However, I suspect that many people are having a bad experience -- DO NOT PURCHASE THIS PRODUCT.",howev suspect mani peopl bad experi not_purchas product,"['product', 'people', 'experience']",-1,{'bad'},set(),['bad experience'],-1
328,1.0,41.0,329.0,PIII 1Ghz 512MB RDRAM Windows XP Pro 80GB HD  I was able to Uninstall NIS 2003 and Install NIS 2004 with no trouble.,piii 1ghz mb rdram window xp pro gb hd     abl uninstal nis instal nis not_troubl,"['windows', 'nis', 'installation']",1,{'able'},set(),[],1
330,1.0,41.0,331.0,Then I disabled both Norton Antivirus and Norton Internet Security.,disabl norton antivirus norton internet secur,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'norton security', 'internet security', 'norton internet', 'antivirus security', 'norton antivirus', 'antivirus internet', 'security', 'norton', 'internet', 'antivirus']",0,{'disabled'},set(),[],-1
333,1.0,41.0,334.0,"After that was complete, I deleted the Norton Antivirus and Norton Internet Security folders left in the ""Programs"" section of Windows XP.",complet delet norton antivirus norton internet secur folder left program section window xp,"['norton internet security', 'norton antivirus security', 'antivirus internet security', 'norton antivirus internet', 'security program', 'norton security', 'program norton', 'internet security', 'internet program', 'norton internet', 'antivirus security', 'antivirus program', 'norton antivirus', 'antivirus internet', 'windows', 'security', 'program', 'norton', 'internet', 'folder', 'antivirus']",0,{'complete'},set(),['complete folders'],1
334,1.0,41.0,335.0,Next I de-fragged my hard drive.,de frag hard drive,['drive'],0,{'hard'},{'hard'},[],-1
335,1.0,41.0,336.0,"I did not use the Rnis.exe, since I have WinFax Pro on my system. I did not touch the Windows Registry, for the same reason.",not_us rnis.ex sinc winfax pro system not_touch window registri reason,"['windows', 'system', 'registry']",0,"{'winfax', 'not_touch', 'not_use', 'pro'}",set(),[],0
336,1.0,41.0,337.0,"I installed, activated and registered NIS 2004 without issue.",instal activ regist nis issu,"['nis', 'installation']",1,set(),{'activated'},[],0
339,1.0,42.0,340.0,This program would not let me send Outlook Email or listen to Audible sample books online.,program not_let send outlook email listen audibl sampl book onlin,"['program', 'outlook', 'email']",-1,{'audible'},set(),['audible books'],0
342,1.0,42.0,343.0,For security buy Zone Alarm. It's a very friendly program.,secur buy zone alarm veri friend program,"['security program', 'security', 'program', 'alarm']",0,{'friendly'},{'friendly'},['friendly program'],1
345,1.0,43.0,346.0,"I had much of the same problems that everyone else has listed (mainly the SLOOOOOOOOOW processor), and then I couldn't get the damn thing off my computer completely!",problem everyon els list main slooooooooow processor not_get damn thing comput complet,"['problems computer', 'thing', 'problems', 'computer']",-1,{'damn'},{'damn'},['damn computer'],0
346,1.0,43.0,347.0,"I decided to give it one last chance... so I formatted my hard drive, reinstalled Windows XP (which also required a day & night download/install of SP2 on dial-up) and put NIS2004 back onto the computer.",decid chanc format hard drive reinstal window xp requir day night download instal sp2 dial nis2004 comput,"['windows', 'installation', 'drive', 'computer']",0,{'hard'},{'hard'},['hard windows'],-1
348,1.0,43.0,349.0,"Blessedly, my DSL was installed just about this time and I set up a wireless network with my desktop.",bless dsl instal time set wireless network desktop,"['time', 'installation']",0,{'wireless'},set(),['wireless network'],0
349,1.0,43.0,350.0,"So when I reformatted for the third time, downloading SP2 took no time at all and the new XP was kind enough to even suggest other antivirus programs to try (it also listed Norton and McAffee).",reformat time download sp2 took not_tim new xp kind suggest antivirus program tri list norton mcaffe,"['time program', 'program norton', 'antivirus program', 'norton antivirus', 'time', 'program', 'norton', 'antivirus']",0,{'new'},{'third'},['new kind'],1
358,1.0,44.0,359.0,"It was immediately noticeable that NIS slows down my computer (Pent4, 256 RAM).",immedi notic nis slow comput pent4 ram,"['nis computer', 'nis', 'computer']",-1,{'noticeable'},set(),[],0
359,1.0,44.0,360.0,I think it is a combination of the program size taking up resources and the open/close scanning that it does with every program.,think combin program size resourc open close scan doe everi program,['program'],-1,{'close'},set(),[],0
360,1.0,44.0,361.0,Is it necessary to scan my MS Money database when I close the program?,necessari scan ms money databas close program,"['program', 'money']",-1,{'close'},set(),['close program'],0
361,1.0,44.0,362.0,I'm not sure how it would have been compromised by a virus.,m not_sur compromis virus,['virus'],0,{'not_sure'},set(),[],0
362,1.0,45.0,363.0,"I have a modern PC with lots of speed and memory, but this firewall just brought it to a halt.",modern pc lot speed memori firewal brought halt,"['pc', 'memory', 'lot', 'firewall']",-1,{'modern'},{'modern'},['modern lots'],1
364,1.0,45.0,365.0,Configuring it for a home network was almost impossible.,configur home network imposs,['home'],-1,{'impossible'},set(),[],-1
368,1.0,45.0,369.0,"While I was trying to play Half Life 2 it started popping up with ""alerts"" every twenty seconds (literally), warning me my antivirus protection was off.",tri play half life start pop alert everi twenti second liter warn antivirus protect,['antivirus'],-1,{'half'},set(),['half life'],-1
373,1.0,45.0,374.0,"Of course, if you try to reach Symantec customer service you get useless automated systems unless you want to pay $30 per incident.",cours tri reach symantec custom servic useless autom system want pay $ incid,"['system', 'symantec', 'service', 'customer']",-1,{'useless'},set(),['symantec service'],-1
375,1.0,45.0,376.0,"Finally I ran msconfig and went into the ""services"" tab and unchecked every last Norton/Symantec ""service,"" then ran uninstall again.",final ran msconfig went servic tab uncheck everi norton symantec servic ran uninstal,"['symantec', 'service', 'norton']",0,"{'uninstall', 'unchecked'}",set(),"['norton service', 'symantec service']",0
377,1.0,45.0,378.0,"I simply hate Symantec. I swear, if I could have physically ripped that software out of my computer with my bare, bleeding hands, I would have.",simpli hate symantec swear physic rip softwar comput bare bleed hand,"['software computer', 'symantec', 'software', 'computer']",-1,{'bare'},set(),['symantec swear'],1
